"coordinates","name","start_methods","Nid","beds","bicycle","camping","distancetogrocery","freq","fueltypes","anchorpoints","dates","waterstation","mobile","oxygen","runway","sleepinworkshop","parkinhangar"
"51.0167, 7.00694","Leverkusen","w, app, s","202","No","Yes","No","2 km","122.43MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131020T215959Z;WKST=MO","Yes","0151/","No","grass","No","No"
"47.15, 0.712778","LFJT - Tours-Le Louroux","w, app, s","761","No","No","Yes","> 3 km","123.05MHz","Avgas","Yes","","Yes","0033 (0)6 43 04 56 69","No","grass","No","For three 15m gliders or two 20m gliders in most cases"
"48.0019, -2.37861","LFRP - Ploermel Loyat","w, s","178","No","No","Yes","2 km","123.50MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141031T225959Z;WKST=MO","Yes","+33 685 433 951","No","grass","No","No"
"48.7956, 7.81581","LFSH HAGUENAU","a499, app, s","180","No","No","Yes","1 km","120.63MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,WE,FR,SA,SU;UNTIL=20141130T225959Z;WKST=MO","Yes","0033642361977","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"48.7956, 7.81581","LFSH HAGUENAU","app, s","692","No","No","Yes","1 km","120.63MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,WE,FR,SA,SU;UNTIL=20151129T225959Z;WKST=MO","Yes","0033642361977","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"44.3222, 10.8317","LIDP PAVULLO NEL FRIGNANO MODENA","w, app, s","154","Yes","No","Yes","2 km","122.60MHz","Avgas, Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=365;WKST=MO","Yes","+39 340 1603260","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"46.7983, 12.8861","Lienz/Nikolsdorf LOKL","app, s","824","No","Yes","Yes","3 km","122.50MHz","Avgas, Super Plus (Mogas), JetA1, Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20151031T225959Z;WKST=MO
EXDATE:20150814T220000Z","Yes","+43 (0)650 44 26 119","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"45.77, 9.16083","LILB ALZATE BRIANZA COMO","app, s","125","No","No","Yes","1 km","123.50MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=365;WKST=MO","Yes","+393393431374","No","grass, concrete / asphalt","No","No"
"45.8092, 8.76833","LILC - Calcinate del Pesce - Varese - Italy","app, s","100","No","No","Yes","1 km","128.45MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20140408T215959Z;WKST=MO
EXDATE:20131224T230000Z","Yes","+393355299212","Yes","grass, concrete / asphalt","No","No"
"50.6872, 3.07556","Lille Marcq","app, s","185","No","No","Yes","1 km","122.00MHz","Avgas, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130930T215959Z;WKST=MO","Yes","+33 6 25 89 16 44","No","grass","No","Can be arranged, if requested in advance"
"39.7172, -3.32111","Lillo","app","176","No","No","Yes","1 km","123.38MHz","Avgas, JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131231T225959Z;WKST=MO
RDATE:20130701T220000Z,20130702T220000Z,20130703T220000Z,20130704T220000Z","Yes","+34 667 609440","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"48.2974, 14.3348","Linz-Ost","w, amg, s","819","No","No","Yes","2 km","122.38MHz","Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151130T225959Z;WKST=MO","No","00496504102858","No","grass","Yes","No"
"48.3, 14.3333","LinzOst","w, amg, s","744","No","No","Yes","3 km","122.38MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20151031T225959Z;WKST=MO","Yes","+43 732 658064","No","grass","No","For one 15m glider in most cases"
"43.7917, 16.9069","Livno LQLV","app, s","92","Yes","No","Yes","2 km","123.50MHz","Avgas, Avgas-Mogas-Mix","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130915T215959Z;WKST=MO","No","0038763332031","No","grass","Yes","Can be arranged, if requested in advance"
"46.1596, 8.88593","Locarno LSZL","amg, app, s","104","No","Yes","No","1 km","133.45MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141221T225959Z;WKST=MO","No","+41 79 240 06 41","No","grass","No","No"
", ","LSV Ostharz eV Aschersleben","w, amg, app, s","771","Yes","Yes","Yes","1 km","123 375.00MHz","Super Plus (Mogas), Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=15;WKST=MO
EXDATE:20151002T220000Z","Yes","01709023012","No","grass","No","Can be arranged, if requested in advance"
"47.1835, 7.09116","LSZJ Courtelary","a699, app, s","670","No","No","Yes","1 km","124.60MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151101T225959Z;WKST=MO","Yes","0041 78 760 13 53","No","grass, concrete / asphalt","No","No"
"47.1835, 7.09116","LSZJ Courtelary Buerkilager","a699, app, s","778","No","No","Yes","1 km","124.60MHz","Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150619T215959Z;WKST=MO","Yes","0041 78 760 13 53","No","grass, concrete / asphalt","No","No"
"47.1835, 7.09116","LSZJ Courtelary Camp GVVC","a699, app, s","779","No","No","Yes","1 km","124.60MHz","Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150807T215959Z;WKST=MO","Yes","0041 78 760 13 53","No","grass, concrete / asphalt","No","No"
"47.1835, 7.09116","LSZJ Courtelary Himmelfahrt","a699, app, s","776","No","No","Yes","1 km","124.60MHz","Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150522T215959Z;WKST=MO","Yes","0041 78 760 13 53","No","grass, concrete / asphalt","No","No"
"53.8049, 10.717","Luebeck-Blankensee","w, amg, s","103","No","No","No","> 3 km","128.70MHz","Avgas, Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=30;WKST=MO","Yes","017642029958","No","grass","No","For one 15m glider in most cases"
"53.8049, 10.717","Luebeck-Blankensee","w, amg, s","677","No","No","No","> 3 km","128.70MHz","Avgas, JetA1, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=30;WKST=MO","Yes","017642029958","No","grass","Yes","For one 15m glider in most cases"
"51.4231, 16.2294","Lubin EPLU","app, s","59","Yes","No","Yes","1 km","122.40MHz","Avgas, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150930T215959Z;WKST=MO","Yes","+48501647857","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"49.4114, 8.34861","Ludwigshafen-Dannstadt","w, app, s","729","No","Yes","Yes","3 km","130.13MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=100;WKST=MO","Yes","123456789","No","grass","Yes","No"
"52.1417, 12.6622","Luesse","w, app, s","117","In most cases yes","No","Yes","3 km","129.98MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20130804T215959Z;WKST=MO","Yes","0049 566686624","No","grass","No","Can be arranged, if requested in advance"
"52.1417, 12.6622","Luesse","w, app, s","118","In most cases yes","No","Yes","3 km","129.98MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131026T215959Z;WKST=MO
RDATE:20130907T220000Z","Yes","0049 566686624","No","grass","No","Can be arranged, if requested in advance"
"52.1417, 12.6622","Luesse","w, app, s","119","In most cases yes","No","Yes","3 km","129.98MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130614T215959Z;WKST=MO","Yes","0049 566686624","No","grass","No","Can be arranged, if requested in advance"
"52.1417, 12.6622","Luesse","w, app, s","120","In most cases yes","No","Yes","3 km","129.98MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130705T215959Z;WKST=MO","Yes","0049 566686624","No","grass","No","Can be arranged, if requested in advance"
"52.1417, 12.6622","Luesse","w, app, s","121","In most cases yes","No","Yes","3 km","129.98MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151004T215959Z;WKST=MO","Yes","0049 566686624","No","grass","No","Can be arranged, if requested in advance"
"45.6556, 4.91139","Lyon Corbas LFHJ","app, s","179","No","No","Yes","1 km","119.05MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141230T225959Z;WKST=MO","Yes","+33 6.41.68.73.42","No","grass","No","No"
"49.9683, 8.14833","Mainz-Finthen EDFZ","w, amg, s","86","No","No","Yes","3 km","122.93MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151025T225959Z;WKST=MO","Yes","+49 160 96240381","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"49.4531, 7.03917","Marpingen","w, a499, amg, app, s","772","Yes","No","Yes","1 km","123.48MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20160420T215959Z;WKST=MO","Yes","00491785775082","No","grass","No","Can be arranged, if requested in advance"
"49.064, 18.9507","Martin","a699","786","Yes","No","Yes","3 km","123.60MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20190921T215959Z;WKST=MO","Yes","+421903043862","No","grass","Yes","Can be arranged, if requested in advance"
"40.9114, -4.37083","Marugan","s","742","Yes","No","Yes","1 km","123.50MHz","Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20201231T225959Z;WKST=MO","Yes","+34687793484","No","grass, concrete / asphalt","Yes","For more or larger gliders than mentioned above in most cases"
"52.2008, 8.38056","Melle - Groenegau EDXG","w, app, s","166","Yes","No","Yes","2 km","122.40MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131027T225959Z;WKST=MO
EXDATE:20140801T220000Z,20140802T220000Z,20140808T220000Z,20140809T220000Z,20140815T220000Z,20140816T220000Z
RDATE:20130529T220000Z,20131002T220000Z","Yes","0049 (0)171 1717870","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"51.3015, 8.23751","Meschede-Schueren","app, s","809","No","No","Yes","> 3 km","122.05MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO","No","01716460209","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"47.8708, 14.125","Micheldorf LOLM","w","150","No","No","Yes","1 km","123.20MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131028T225959Z;WKST=MO","No","00437582 61590","No","grass, concrete / asphalt","No","No"
"52.5153, -2.87833","Midland GC","w, s","169","Yes","No","Yes","> 3 km","129.98MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131001T215959Z;WKST=MO","Yes","0044 7775632571","No","grass","No","For one 15m glider in most cases"
"50.3015, 17.2968","Mikulovice - LKMI Aeroclub Jeseník","app","796","Yes","No","Yes","3 km","123.50MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191130T225959Z;WKST=MO","No","00420604905903","Yes","grass","No","Can be arranged, if requested in advance"
"51.1, 6.38333","Moenchengladbach - Wanlo","w","807","No","No","Yes","3 km","121.18MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO
RDATE:20150627T220000Z,20150628T220000Z,20150629T220000Z,20150630T220000Z,20150701T220000Z,20150702T220000Z","Yes","0176 / 60906968","No","grass","Yes","Can be arranged, if requested in advance"
"51.1, 6.38333","Moenchengladbach - Wanlo 2016","w","808","No","No","Yes","3 km","121.18MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20161030T225959Z;WKST=MO","Yes","0176 / 60906968","No","grass","Yes","Can be arranged, if requested in advance"
"50.5092, 7.25694","Moenchsheide Bad Breisig","w, app, s","644","In most cases yes","Yes","Yes","> 3 km","122.00MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO
RDATE:20140511T220000Z,20140512T220000Z,20140513T220000Z,20140514T220000Z,20140515T220000Z,20140518T220000Z,20140519T220000Z,20140520T220000Z,20140521T220000Z,20140522T220000Z,20140528T220000Z,20140529T220000Z,20140601T220000Z,20140602T220000Z,20140603T220000Z,20140604T220000Z,20140607T220000Z,20140727T220000Z,20140728T220000Z,20140729T220000Z,20140730T220000Z,20140731T220000Z,20140803T220000Z,20140804T220000Z,20140805T220000Z,20140806T220000Z,20140807T220000Z,20140810T220000Z,20140811T220000Z,20140812T220000Z,20140813T220000Z,20140814T220000Z","Yes","+49 171 107 7453 (Schlepp) & +49 157 8194 4375 (Casino)","No","grass","No","No"
"43.4064, 1.98917","Montagne Noire","app, s, c","42","In most cases yes","No","Yes","> 3 km","134.15MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20141231T225959Z;WKST=MO","Yes","00 33 682 165 470","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"","Mosbach - Schreckhof","w, amg","167","No","No","No","2 km","123.50MHz","Super Plus (Mogas)","No","","No","0","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"51.0628, 9.42222","Mosenberg / EDEM","w, a499, amg, s","94","No","No","Yes","3 km","123.05MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131103T225959Z;WKST=MO","No","+49 (0)1577  3304024","No","grass","No","No"
"50.525, 13.6831","Most ","w, app, s","829","Yes","No","Yes","2 km","123.50MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20161030T225959Z;WKST=MO","Yes","+420602286660","No","grass","Yes","For two 15m gliders or one 20m glider in most cases"
"48.4103, 9.44222","Muensingen Eisberg","amg, app, s","105","No","Yes","Yes","> 3 km","123.50MHz","Avgas, Super Plus (Mogas), Two stroke engine oil","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140418T215959Z;WKST=MO","Yes","01704318914","No","grass","Yes","For one 15m glider in most cases"
"49.8425, 6.91639","Neumagen-Dhron","app","143","In most cases yes","No","Yes","2 km","118.18MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=FR,SA,SU;COUNT=16;WKST=MO","No","00491705235889","No","grass","No","Can be arranged, if requested in advance"
"49.8425, 6.91639","Neumagen-Dhron EDRD","app, s","679","In most cases yes","No","Yes","3 km","118.18MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141031T225959Z;WKST=MO","Yes","+49 170 5235889","No","grass","Yes","Can be arranged, if requested in advance"
"47.4686, 14.0014","Niederoeblarn","a499, a699, amg, app, s","641","Yes","Yes","Yes","3 km","122.70MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas), JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=1000;WKST=MO","Yes","00433684/60660","No","grass, concrete / asphalt","No","For more or larger gliders than mentioned above in most cases"
"48.2794, 18.1328","Nitra - LZNI","a699, app, s","163","In most cases yes","No","Yes","2 km","123.40MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151101T225959Z;WKST=MO","No","+421903355646","No","grass","No","No"
"52.4628, 7.18611","Nordhorn/Lingen EDWN","w, app, s","697","Yes","No","Yes","1 km","122.65MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=1;WKST=MO","Yes","0049-152-07594321","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"59.5656, 9.21222","Notodden Flyplass Tuven ENNO","a499, a699, s","46","Yes","Yes","Yes","at the airport","118.80MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141102T225959Z;WKST=MO","Yes","0047 948 54 344","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"46.3119, 18.7639","Őcseny Airfield LHOY","w, app, s","247","Yes","No","Yes","1 km","127.90MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141130T225959Z;WKST=MO","Yes","+36 30 661 8116","No","grass","No","Can be arranged, if requested in advance"
"51.9325, 8.65","Oerlinghausen","w, a499, amg, app, s","750","Yes","No","Yes","1 km","122.18MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20140930T215959Z;WKST=MO","Yes","015112120339","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"51.9325, 8.65","Oerlinghausen","w, app, s","764","Yes","No","Yes","1 km","122.18MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151031T225959Z;WKST=MO","Yes","015112120339","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"47.6581, 11.2347","Ohlstadt / Poemetsried","w, amg, s","220","Yes","No","Yes","> 3 km","130.20MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20130930T215959Z;WKST=MO","Yes","004915233943918","No","concrete / asphalt","No","For one 15m glider in most cases"
"50.6333, 17.7817","Opole EPOP","w, s","694","In most cases yes","No","Yes","1 km","122.20MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150930T215959Z;WKST=MO","Yes","+48 728 854 005","No","grass","Yes","For more or larger gliders than mentioned above in most cases"
"51.7025, 17.8468","Ostrow-Michałkow EPOM sports and GA airfield","a499, app, s","192","Yes","No","Yes","2 km","122.20MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141001T215959Z;WKST=MO
EXDATE:20140516T220000Z,20140517T220000Z","Yes","+48 696753485","No","grass","No","Can be arranged, if requested in advance"
"50.2258, 11.7325","Ottengruener Heide EDQO","w, app, s","97","No","No","Yes","1 km","123.00MHz","Avgas, Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=1000;WKST=MO","Yes","00491719957132","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"51.6884, 8.77518","Paderborn - Haxterberg","app","814","No","No","Yes","2 km","125.27MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO","No","+49 174 9689 626","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"54.4831, 24.9922","Paluknys EYVP","w, app","115","In most cases yes","No","Yes","2 km","125.00MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20130929T215959Z;WKST=MO","Yes","+37061515060","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"48.6203, 18.3333","Partizanske - Male Bielice  LZPT","a499, a699, app, s","171","Yes","No","Yes","2 km","123.50MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=100;WKST=MO","Yes","++421 910 990 822","No","grass","No","Can be arranged, if requested in advance"
"47.85, 11.0631","Paterzell","w, app","821","In most cases yes","No","Yes","> 3 km","123.35MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20151231T225959Z;WKST=MO","Yes","004988035655","No","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"45.9892, 18.2422","Pecs Pogány LHPP","app, s","222","In most cases yes","No","Yes","1 km","126.90MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141031T225959Z;WKST=MO
RDATE:20140427T220000Z,20140428T220000Z,20140429T220000Z,20140430T220000Z,20140501T220000Z,20140629T220000Z,20140630T220000Z,20140701T220000Z,20140702T220000Z,20140703T220000Z,20140803T220000Z,20140804T220000Z,20140805T220000Z,20140806T220000Z,20140807T220000Z","No","+36 70 459 13 25","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"52.3236, 10.1817","Peine Glindbruchkippe","w, amg","763","In most cases yes","No","Yes","2 km","123.35MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20150930T215959Z;WKST=MO","Yes","00491705777560","No","grass","No","Can be arranged, if requested in advance"
"53.6158, 11.5628","Pinnow EDBP","w, a499, s","31","In most cases yes","Yes","Yes","1 km","122.50MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131027T225959Z;WKST=MO
RDATE:20130505T220000Z,20130506T220000Z,20130507T220000Z,20130508T220000Z,20130509T220000Z","No","+49 (0) 173 1357249","No","grass","No","No"
"49.2656, 7.49083","Pirmasens","a499, amg, app, s","73","In most cases yes","No","Yes","3 km","122.35MHz","Avgas, Super Plus (Mogas), Super unleaded, JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20131027T225959Z;WKST=MO","Yes","004915253558267","No","concrete / asphalt","Yes","For one 15m glider in most cases"
"50.9781, 13.9147","Pirna-Pratzschwitz  EDAR","w, app, s","19","In most cases yes","No","Yes","2 km","118.63MHz","Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191031T225959Z;WKST=MO","Yes","+49(0)171 9261410","No","grass","No","Can be arranged, if requested in advance"
"51.1919, 7.79133","Plettenberg - Hueinghausen","w, app","810","No","No","Yes","2 km","122.93MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO","No","(02357)2114","No","grass","No","Can be arranged, if requested in advance"
"48.7675, 18.5903","Prievidza - LZPE","a499, a699, s","28","Yes","No","Yes","1 km","122.60MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191031T225959Z;WKST=MO","Yes","+421 911 11 05 04","No","grass","No","Can be arranged, if requested in advance"
"54.2477, 18.6745","Pruszcz Gdanski EPPR","w, s, c","793","No","No","Yes","1 km","122.80MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191231T225959Z;WKST=MO","Yes","0048881465865","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"52.6639, 7.92111","Quakenbrueck","w, s","199","No","No","Yes","1 km","122.30MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141025T215959Z;WKST=MO","Yes","0151 167 10 265","No","grass","Yes","Can be arranged, if requested in advance"
"50.4061, 13.7526","Rana","w, a499, a699, s, c","716","Yes","No","Yes","3 km","126.85MHz","Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20170924T215959Z;WKST=MO","Yes","+420608282684","No","grass","No","Can be arranged, if requested in advance"
"49.8394, 8.85056","Reinheim","w, app, s","81","No","No","No","2 km","124.00MHz","Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","Yes","0176 64107622","No","grass","Yes","Can be arranged, if requested in advance"
"51.9008, 13.1942","Reinsdorf EDOD","w, a499, a699, amg, app, s, c","755","In most cases yes","No","Yes","> 3 km","122.85MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20151201T225959Z;WKST=MO","Yes","0049 162 -2144436","No","grass","Yes","Can be arranged, if requested in advance"
"51.5931, 12.2372","Renneritz","w, amg, app, s","138","Yes","No","Yes","> 3 km","123.48MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA;UNTIL=20131027T225959Z;WKST=MO","Yes","004934954/39196","No","grass","No","Can be arranged, if requested in advance"
"51.593, 12.2372","Renneritz","w, s","818","In most cases yes","No","Yes","3 km","123.48MHz","Super unleaded, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA;UNTIL=20151031T225959Z;WKST=MO
RDATE:20150711T220000Z,20150712T220000Z,20150713T220000Z,20150714T220000Z,20150715T220000Z,20150716T220000Z,20150718T220000Z,20150719T220000Z,20150720T220000Z,20150721T220000Z,20150722T220000Z,20150723T220000Z","No","+49 177 73 73 511","No","grass","Yes","For one 15m glider in most cases"
"47.4672, 10.6847","Reutte - Hoefen LOIR","w, amg","128","No","Yes","Yes","at the airport","122.40MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130929T215959Z;WKST=MO","Yes","+43 676 9706612","No","grass","No","Can be arranged, if requested in advance"
"52.2765, 7.49439","Rheine Eschendorf EDXE","w, a499, app, s","107","In most cases yes","No","Yes","2 km","122.05MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131130T225959Z;WKST=MO","No","+491773027663","No","grass","No","Can be arranged, if requested in advance"
"50.3026, 8.38566","Riedelbach","w, amg","108","Yes","No","Yes","1 km","130.13MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=58;WKST=MO
RDATE:20130430T220000Z,20130508T220000Z,20130519T220000Z,20130529T220000Z,20130707T220000Z,20130708T220000Z,20130709T220000Z,20130710T220000Z,20130711T220000Z,20130714T220000Z,20130715T220000Z,20130716T220000Z,20130717T220000Z,20130718T220000Z","No","0049 151 503 814 79","No","grass","No","Can be arranged, if requested in advance"
